eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A24_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A24,,Quadrat count,0.25,m^2,"POLYGON ((567006.273798891 4076778.68419513,567006.572580697 4076779.08685909,567006.975244656 4076778.78807728,567006.67646285 4076778.38541332,567006.273798891 4076778.68419513))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A24_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A24,,Quadrat count,0.25,m^2,"POLYGON ((567006.676853024 4076778.25229581,567007.074759828 4076777.95335485,567006.775818872 4076777.55544805,567006.377912068 4076777.854389,567006.676853024 4076778.25229581))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A22_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A22,,Quadrat count,0.25,m^2,"POLYGON ((566992.30885022 4076791.40198799,566991.864032487 4076791.65066564,566992.112710136 4076792.09548337,566992.557527868 4076791.84680572,566992.30885022 4076791.40198799))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A22_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A22,,Quadrat count,0.25,m^2,"POLYGON ((566990.930223273 4076791.51096486,566991.177265322 4076791.91250451,566991.578804964 4076791.66546246,566991.331762915 4076791.26392282,566990.930223273 4076791.51096486))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A22_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A22,,Quadrat count,0.25,m^2,"POLYGON ((566991.506310895 4076790.86686617,566991.908618574 4076790.58320482,566991.624957224 4076790.18089714,566991.222649545 4076790.46455849,566991.506310895 4076790.86686617))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A22_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A22,,Quadrat count,0.25,m^2,"POLYGON ((566992.0659056 4076790.78935492,566992.312571524 4076791.20542173,566992.728638337 4076790.95875581,566992.481972414 4076790.54268899,566992.0659056 4076790.78935492))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A28_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A28,,Quadrat count,0.25,m^2,"POLYGON ((567175.064318656 4076926.55585334,567174.818850721 4076926.9412568,567175.20425418 4076927.18672474,567175.449722115 4076926.80132128,567175.064318656 4076926.55585334))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A28_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A28,,Quadrat count,0.25,m^2,"POLYGON ((567175.704966863 4076927.63960842,567175.276182434 4076927.38571939,567175.022293402 4076927.81450382,567175.451077831 4076928.06839285,567175.704966863 4076927.63960842))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A28_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A28,,Quadrat count,0.25,m^2,"POLYGON ((567176.016617482 4076927.13248183,567175.795527649 4076927.58737937,567176.250425186 4076927.8084692,567176.471515018 4076927.35357167,567176.016617482 4076927.13248183))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A28_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A28,,Quadrat count,0.25,m^2,"POLYGON ((567176.03353551 4076926.90944132,567176.261215863 4076926.4962764,567175.848050942 4076926.26859605,567175.620370589 4076926.68176097,567176.03353551 4076926.90944132))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C-,
