eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE,20130116,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN,20130116,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW,20140115,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS,20140115,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE,20140115,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20140115,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN,20140115,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW,20150123,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN,20150123,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS,20150123,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20150123,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE,20150123,Quadrat count,0.25,m^2,,,,,,
